Quarter,Office Space In Central Region ,Retail Space In Central Region 
 2014 1Q ,133.5,129.5
 2014 2Q ,133.5,129.1
 2014 3Q ,135.6,128.8
 2014 4Q ,138.8,130.7
 2015 1Q ,138.6,130.7
 2015 2Q ,139,130.1
 2015 3Q ,138.8,129.7
 2015 4Q ,138.6,129.6
 2016 1Q ,138.2,127.1
 2016 2Q ,136.1,123.1
 2016 3Q ,135.5,122.3
 2016 4Q ,134.7,122.6
 2017 1Q ,129.3,117.7
 2017 2Q ,127.5,113.9
 2017 3Q ,128,112.9
 2017 4Q ,131.4,111.8
 2018 1Q ,133.1,111.9
 2018 2Q ,135.6,110.5
 2018 3Q ,135.7,110.8
 2018 4Q ,138.9,112.5
